Time:long,Delta Time:ulong,Master ID:ubyte,Master Name:string,Channel Number:ubyte,Module:string,Domain:string,Class:string,Type:string,Data Message:string,Data:ulong,Trace Status:string,Receiver Status:string,
"8172194","","128","CPTracer","","CPT","L2_0","Bus Utilization(Mil Transactions/s) = Num Access Granted / Sliding Time Window","Value","","0","","",
"8172194","","128","CPTracer","","CPT","L2_0","Bus Contention(%) = Accumulated wait time / Sliding Time Window","Value","","0","","",
"8172194","","128","CPTracer","","CPT","L2_0","Min. Average Latency (cycles / transaction) = Accumulated wait time / Num Access Granted","Value","","0","","",
"8172194","","128","CPTracer","","CPT","L2_0","Selected bus throughput(MBytes/s) = ThroughPutCounter0 / Sliding Time Window","Value","","0","","",
"8172194","","128","CPTracer","","CPT","L2_0","Throughput Counter0","Value","","0","","",
"8172194","","128","CPTracer","","CPT","L2_0","Throughput Counter1","Value","","0","","",
"8172194","","128","CPTracer","","CPT","L2_0","Total Wait Time Counter","Value","","0","","",
"8172194","","128","CPTracer","","CPT","L2_0","Total Granted Counter","Value","","0","","",
"8176677","4483","128","CPTracer","","CPT","MSMC_0","Bus Throughput(MBytes/s) = ThroughPutCounter0 / Sliding Time Window","Value","","116","","",
"8176677","","128","CPTracer","","CPT","MSMC_0","Bus Throughput(MBytes/s) = ThroughPutCounter1 / Sliding Time Window","Value","","116","","",
"8176677","","128","CPTracer","","CPT","MSMC_0","Bus Utilization(Mil Transactions/s) = Num Access Granted / Sliding Time Window","Value","","3","","",
"8176677","","128","CPTracer","","CPT","MSMC_0","Bus Contention(%) = Accumulated wait time / Sliding Time Window","Value","","1","","",
"8176677","","128","CPTracer","","CPT","MSMC_0","Min. Average Latency (cycles / transaction) = Accumulated wait time / Num Access Granted","Value","","2","","",
"8176677","","128","CPTracer","","CPT","MSMC_0","Throughput Counter0","Value","","15264","","",
"8176677","","128","CPTracer","","CPT","MSMC_0","Throughput Counter1","Value","","15264","","",
"8176677","","128","CPTracer","","CPT","MSMC_0","Total Wait Time Counter","Value","","956","","",
"8176677","","128","CPTracer","","CPT","MSMC_0","Total Granted Counter","Value","","477","","",
"8178728","2051","128","CPTracer","","CPT","L2_1","Bus Throughput(MBytes/s) = ThroughPutCounter1 / Sliding Time Window","Value","","6","","",
