Type:uinteger,Time:timestampu,Error:uinteger,Master:string,Message:string,Event:string,EventClass:string,Data1:string,Data2:string,SeqNo:timestampu,Logger:string,Module:string,Domain:string,Local Time:timestampu,Arg1:uinteger,Arg2:uinteger,Arg3:uinteger,Arg4:uinteger,Arg5:uinteger,Arg6:uinteger,Arg7:uinteger,Arg8:uinteger,
6,154572346808,0,C64XP_1,"StopInstanceWithAdrs: Benchmark function (matmult): task=0x854950, fnAdrs=0x24ab84",Stop,FUNC,matmult().854950,matmult(),101,Main Logger,ti.uia.events.UIABenchmark,xdc.runtime.Main,107997510745,8962098,8735056,2403204,0,,,,,
6,154572347203,0,C64XP_1,"VALUE=500 (AuxData=0, 0) Key:Terms",UIAEvt_intWithKey,Unknown,Terms,500,102,Main Logger,ti.uia.events.UIAEvt,xdc.runtime.Main,107997511020,500,0,0,8962031,,,,,
6,154572534317,0,C64XP_1,Stop: Math Oprns:,Stop,Math Oprns,Math Oprns,,103,Main Logger,ti.uia.events.UIABenchmark,xdc.runtime.Main,107997642001,8962009,,,,,,,,
,154572542777,0,C64XP_1,"LM_pend: sem: 0x855298, count: 0, timeout: -1",Semaphore_LM_pend,Unknown,,,268,SYSBIOS System Logger,ti.sysbios.knl.Semaphore,ti.sysbios.knl.Semaphore,107997647923,8737432,0,4294967295,0,,,,,
,154572543274,0,C64XP_1,"LD_block: tsk: 0x854950, func: 0x248364",Task_LD_block,Unknown,,,269,SYSBIOS System Logger,ti.sysbios.knl.Task,ti.sysbios.knl.Task,107997648271,8735056,2392932,,,,,,,
,154572544208,0,C64XP_1,"LM_switch: oldtsk: 0x854950, oldfunc: 0x248364, newtsk: 0x874748, newfunc: 0x24cb14",CtxChg,TSK,ti_uia_sysbios_IpcMP_transferAgentFxn__E(),,270,SYSBIOS System Logger,_ti.uia.events.UIAThreadCtx,ti.sysbios.knl.Task,107997648924,8735056,2392932,8865608,2411284,,,,,
,154572546128,0,C64XP_1,"LM_pend: event: 0x8745a0, currEvents: 0x0, andMask: 0x0, orMask: 0x7, timeout: -1",Event_LM_pend,Unknown,,,271,SYSBIOS System Logger,ti.sysbios.knl.Event,ti.sysbios.knl.Event,107997650265,8865184,0,0,7,4294967295,0,0,0,
,154572546677,0,C64XP_1,"LD_block: tsk: 0x874748, func: 0x24cb14",Task_LD_block,Unknown,,,272,SYSBIOS System Logger,ti.sysbios.knl.Task,ti.sysbios.knl.Task,107997650652,8865608,2411284,,,,,,,
,154572547637,0,C64XP_1,"LM_switch: oldtsk: 0x874748, oldfunc: 0x24cb14, newtsk: 0x874700, newfunc: 0x2a2e20",CtxChg,TSK,TSK_idle,,273,SYSBIOS System Logger,_ti.uia.events.UIAThreadCtx,ti.sysbios.knl.Task,107997651323,8865608,2411284,8865536,2764320,,,,,
,154572550474,0,C64XP_2,"LM_post: sem: 0x855298, count: 0",Semaphore_LM_post,Unknown,,,262,SYSBIOS System Logger,ti.sysbios.knl.Semaphore,ti.sysbios.knl.Semaphore,93991057683,8737432,0,,,,,,,
