Delta Time:ulong,Time:integer,Master ID:ubyte,Master Name:string,Channel Number:ubyte,Module:string,Data Message:string,Data:ulong,Domain:string,Class:string,Type:string,Data Size:ubyte,Address:uinteger,Micro Secs:float:decimal,Trace Status:string,Receiver Status:string,Local Delta Timestamp:ulong,Local Timestamp:integer,Overflow Count:ubyte,Program Address:uinteger:hex,
3696,116972,224,SM_STATISTICS_UNIT0,,SDRAM,,608,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,1336.822857,,,,0,,,
,116972,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,1336.822857,,,,0,,,
74,120668,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,1379.062857,,,,0,,,
,120668,224,SM_STATISTICS_UNIT0,,SDRAM,,656,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,1379.062857,,,,0,,,
3695,120742,224,SM_STATISTICS_UNIT0,,SDRAM,,768,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,1379.908571,,,,0,,,
,120742,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,1379.908571,,,,0,,,
1887,124437,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,1422.137143,,,,0,,,
,124437,224,SM_STATISTICS_UNIT0,,SDRAM,,656,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,1422.137143,,,,0,,,
75,126324,224,SM_STATISTICS_UNIT0,,SDRAM,,512,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,1443.702857,,,,0,,,
,126324,224,SM_STATISTICS_UNIT0,,SDRAM,,656,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,1443.702857,,,,0,,,
3695,126399,224,SM_STATISTICS_UNIT0,,SDRAM,,768,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,1444.560000,,,,0,,,
,126399,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,1444.560000,,,,0,,,
1885,130094,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,1486.788571,,,,0,,,
,130094,224,SM_STATISTICS_UNIT0,,SDRAM,,656,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,1486.788571,,,,0,,,
1885,131979,224,SM_STATISTICS_UNIT0,,SDRAM,,656,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,1508.331429,,,,0,,,
,131979,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,1508.331429,,,,0,,,
75,133864,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,1529.874286,,,,0,,,
,133864,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,1529.874286,,,,0,,,
3698,133939,224,SM_STATISTICS_UNIT0,,SDRAM,,656,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,1530.731429,,,,0,,,
,133939,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,1530.731429,,,,0,,,
1884,137637,224,SM_STATISTICS_UNIT0,,SDRAM,,656,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,1572.994286,,,,0,,,
,137637,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,1572.994286,,,,0,,,
1885,139521,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,1594.525714,,,,0,,,
,139521,224,SM_STATISTICS_UNIT0,,SDRAM,,768,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,1594.525714,,,,0,,,
74,141406,224,SM_STATISTICS_UNIT0,,SDRAM,,656,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,1616.068571,,,,0,,,
,141406,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,1616.068571,,,,0,,,
3699,141480,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,1616.914286,,,,0,,,
,141480,224,SM_STATISTICS_UNIT0,,SDRAM,,656,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,1616.914286,,,,0,,,
1883,145179,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,1659.188571,,,,0,,,
,145179,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,1659.188571,,,,0,,,
1887,147062,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,1680.708571,,,,0,,,
,147062,224,SM_STATISTICS_UNIT0,,SDRAM,,656,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,1680.708571,,,,0,,,
1884,148949,224,SM_STATISTICS_UNIT0,,SDRAM,,768,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,1702.274286,,,,0,,,
,148949,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,1702.274286,,,,0,,,
74,150833,224,SM_STATISTICS_UNIT0,,SDRAM,,512,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,1723.805714,,,,0,,,
,150833,224,SM_STATISTICS_UNIT0,,SDRAM,,656,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,1723.805714,,,,0,,,
3697,150907,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,1724.651429,,,,0,,,
,150907,224,SM_STATISTICS_UNIT0,,SDRAM,,656,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,1724.651429,,,,0,,,
1887,154604,224,SM_STATISTICS_UNIT0,,SDRAM,,768,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,1766.902857,,,,0,,,
,154604,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,1766.902857,,,,0,,,
1884,156491,224,SM_STATISTICS_UNIT0,,SDRAM,,656,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,1788.468571,,,,0,,,
,156491,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,1788.468571,,,,0,,,
74,158375,224,SM_STATISTICS_UNIT0,,SDRAM,,656,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,1810.000000,,,,0,,,
,158375,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,1810.000000,,,,0,,,
3697,158449,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,1810.845714,,,,0,,,
,158449,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,1810.845714,,,,0,,,
1887,162146,224,SM_STATISTICS_UNIT0,,SDRAM,,656,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,1853.097143,,,,0,,,
,162146,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,1853.097143,,,,0,,,
1883,164033,224,SM_STATISTICS_UNIT0,,SDRAM,,656,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,1874.662857,,,,0,,,
,164033,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,1874.662857,,,,0,,,
1887,165916,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,1896.182857,,,,0,,,
,165916,224,SM_STATISTICS_UNIT0,,SDRAM,,768,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,1896.182857,,,,0,,,
1884,167803,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,1917.748571,,,,0,,,
,167803,224,SM_STATISTICS_UNIT0,,SDRAM,,656,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,1917.748571,,,,0,,,
1887,169687,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,1939.280000,,,,0,,,
,169687,224,SM_STATISTICS_UNIT0,,SDRAM,,624,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,1939.280000,,,,0,,,
1884,171574,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,1960.845714,,,,0,,,
,171574,224,SM_STATISTICS_UNIT0,,SDRAM,,672,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,1960.845714,,,,0,,,
74,173458,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,1982.377143,,,,0,,,
,173458,224,SM_STATISTICS_UNIT0,,SDRAM,,656,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,1982.377143,,,,0,,,
3698,173532,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,1983.222857,,,,0,,,
,173532,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,1983.222857,,,,0,,,
1883,177230,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,2025.485714,,,,0,,,
,177230,224,SM_STATISTICS_UNIT0,,SDRAM,,656,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,2025.485714,,,,0,,,
1888,179113,224,SM_STATISTICS_UNIT0,,SDRAM,,656,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,2047.005714,,,,0,,,
,179113,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,2047.005714,,,,0,,,
1883,181001,224,SM_STATISTICS_UNIT0,,SDRAM,,768,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,2068.582857,,,,0,,,
,181001,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,2068.582857,,,,0,,,
1887,182884,224,SM_STATISTICS_UNIT0,,SDRAM,,656,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,2090.102857,,,,0,,,
,182884,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,2090.102857,,,,0,,,
75,184771,224,SM_STATISTICS_UNIT0,,SDRAM,,656,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,2111.668571,,,,0,,,
,184771,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,2111.668571,,,,0,,,
3695,184846,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,2112.525714,,,,0,,,
,184846,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,2112.525714,,,,0,,,
75,188541,224,SM_STATISTICS_UNIT0,,SDRAM,,656,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,2154.754286,,,,0,,,
,188541,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,2154.754286,,,,0,,,
3697,188616,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,2155.611429,,,,0,,,
,188616,224,SM_STATISTICS_UNIT0,,SDRAM,,656,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,2155.611429,,,,0,,,
1884,192313,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,2197.862857,,,,0,,,
,192313,224,SM_STATISTICS_UNIT0,,SDRAM,,768,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,2197.862857,,,,0,,,
1887,194197,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,2219.394286,,,,0,,,
,194197,224,SM_STATISTICS_UNIT0,,SDRAM,,528,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,2219.394286,,,,0,,,
1883,196084,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,2240.960000,,,,0,,,
,196084,224,SM_STATISTICS_UNIT0,,SDRAM,,720,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,2240.960000,,,,0,,,
1887,197967,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,2262.480000,,,,0,,,
,197967,224,SM_STATISTICS_UNIT0,,SDRAM,,704,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,2262.480000,,,,0,,,
1884,199854,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,2284.045714,,,,0,,,
,199854,224,SM_STATISTICS_UNIT0,,SDRAM,,656,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,2284.045714,,,,0,,,
1887,201738,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,2305.577143,,,,0,,,
,201738,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,2305.577143,,,,0,,,
74,203625,224,SM_STATISTICS_UNIT0,,SDRAM,,656,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,2327.142857,,,,0,,,
,203625,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,2327.142857,,,,0,,,
3696,203699,224,SM_STATISTICS_UNIT0,,SDRAM,,656,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,2327.988571,,,,0,,,
,203699,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,2327.988571,,,,0,,,
75,207395,224,SM_STATISTICS_UNIT0,,SDRAM,,768,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,2370.228571,,,,0,,,
,207395,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,2370.228571,,,,0,,,
3696,207470,224,SM_STATISTICS_UNIT0,,SDRAM,,656,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,2371.085714,,,,0,,,
,207470,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,2371.085714,,,,0,,,
75,211166,224,SM_STATISTICS_UNIT0,,SDRAM,,528,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,2413.325714,,,,0,,,
,211166,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,2413.325714,,,,0,,,
1883,211241,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,2414.182857,,,,0,,,
,211241,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,2414.182857,,,,0,,,
3698,213124,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,2435.702857,,,,0,,,
,213124,224,SM_STATISTICS_UNIT0,,SDRAM,,656,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,2435.702857,,,,0,,,
75,216822,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,2477.965714,,,,0,,,
,216822,224,SM_STATISTICS_UNIT0,,SDRAM,,656,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,2477.965714,,,,0,,,
3696,216897,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,2478.822857,,,,0,,,
,216897,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,2478.822857,,,,0,,,
1887,220593,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,2521.062857,,,,0,,,
,220593,224,SM_STATISTICS_UNIT0,,SDRAM,,656,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,2521.062857,,,,0,,,
1883,222480,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,2542.628571,,,,0,,,
,222480,224,SM_STATISTICS_UNIT0,,SDRAM,,688,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,2542.628571,,,,0,,,
1887,224363,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,2564.148571,,,,0,,,
,224363,224,SM_STATISTICS_UNIT0,,SDRAM,,736,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,2564.148571,,,,0,,,
1884,226250,224,SM_STATISTICS_UNIT0,,SDRAM,,656,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,2585.714286,,,,0,,,
,226250,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,2585.714286,,,,0,,,
1887,228134,224,SM_STATISTICS_UNIT0,,SDRAM,,752,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,2607.245714,,,,0,,,
,228134,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,2607.245714,,,,0,,,
1883,230021,224,SM_STATISTICS_UNIT0,,SDRAM,,544,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,2628.811429,,,,0,,,
,230021,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,2628.811429,,,,0,,,
1887,231904,224,SM_STATISTICS_UNIT0,,SDRAM,,656,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,2650.331429,,,,0,,,
,231904,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,2650.331429,,,,0,,,
1884,233791,224,SM_STATISTICS_UNIT0,,SDRAM,,768,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,2671.897143,,,,0,,,
,233791,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,2671.897143,,,,0,,,
1887,235675,224,SM_STATISTICS_UNIT0,,SDRAM,,528,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,2693.428571,,,,0,,,
,235675,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,2693.428571,,,,0,,,
74,237562,224,SM_STATISTICS_UNIT0,,SDRAM,,512,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,2714.994286,,,,0,,,
,237562,224,SM_STATISTICS_UNIT0,,SDRAM,,656,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,2714.994286,,,,0,,,
3696,237636,224,SM_STATISTICS_UNIT0,,SDRAM,,768,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,2715.840000,,,,0,,,
,237636,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,2715.840000,,,,0,,,
1887,241332,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,2758.080000,,,,0,,,
,241332,224,SM_STATISTICS_UNIT0,,SDRAM,,656,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,2758.080000,,,,0,,,
70,243219,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,2779.645714,,,,0,,,
,243219,224,SM_STATISTICS_UNIT0,,SDRAM,,656,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,2779.645714,,,,0,,,
3699,243289,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,2780.445714,,,,0,,,
,243289,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,2780.445714,,,,0,,,
74,246988,224,SM_STATISTICS_UNIT0,,SDRAM,,640,EMIF 0:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,2822.720000,,,,0,,,
,246988,224,SM_STATISTICS_UNIT0,,SDRAM,,656,EMIF 1:Wr:ISS,ThroughPut per Sampleing Period(bytes/Sample Window(4095 cycles)),Value,,,2822.720000,,,,0,,,
