,GPIO35,,,MIIMDC(d),,,,,EPI0S33,SSI1FSS,,,,,,,,U0TX,TRACED0,,GPIO35,SCITXDA,,
,GPIO36,CCP0,,MIIMDIO(d),,,,,EPI0S12,SSI1RX,,,,,,,,U0RX,,,GPIO36,SCIRXDA,,
,GPIO37,CCP2,,MIIRXD3(d),,,,,EPI0S15,SSI1TX,,,,,,,,,,,GPIO37,ECAP2,,
USB0VBUS(d),GPIO38,CCP1,,MIIRXD2(d),,,,,EPI0S38,,,,,,,,,,,,GPIO38,,,
,GPIO39(d),,,,,,,,,,,,,,,,,,,,GPIO39(d),,,
,GPIO40,U2RX,,I2C1SCL,,,,USB0EPEN(d),EPI0S13,,,,,,,,MIIRXD2(d),U4RX,,,GPIO40,,,
,GPIO41,U2TX,,I2C1SDA,,,,,EPI0S14,,,,,,,,MIIRXD1(d),U4TX,,,GPIO41,,,
USB0DM(d),GPIO42,,,MIICOL(d),,,,,EPI0S39,,,,,,,,,,,,GPIO42,,,
,GPIO43,,,MIICRS(d),,,,,,,,,,,,,MIIRXDV(d),,TRACED1,,GPIO43,,,
,GPIO44(d),,,,,,,,,,,,,,,,,,,,GPIO44(d),,,
USB0DP(d),GPIO45,CCP5,,MIITXEN(d),,,,,EPI0S40,,,,,,,,,,,,GPIO45,,,
USB0ID(d),GPIO46,,,MIITXCK(d),,,,,EPI0S41,,,,,,,,,,,,GPIO46,,,
,GPIO47,,,MIITXER(d),,,,,CCP5,EPI0S31,,,,,,,,,,,GPIO47,,,
,GPIO48,CCP6,,MIIPHYRSTn(d),,,,,EPI0S6,,,,,,,,,SSI3TX,,,GPIO48,ECAP5,,
,GPIO49,CCP7,,,,,,,EPI0S7,,,,,,,,MIIRXD0(d),SSI3RX,,,GPIO49,ECAP6,,
,GPIO50,,,,,,,,EPI0S1,MIITXD3(d),,,,,,,,SSI3CLK,,,GPIO50,EQEP1A,,
,GPIO51,,,,USB0EPEN(d),,,,EPI0S0,MIITXD2(d),,,,,,,,SSI3FSS,,,GPIO51,EQEP1B,,
,GPIO52,,,,USB0PFLT(d),,,,EPI0S10,MIITXD1(d),,SSI1CLK,,,,,,U3TX,,,GPIO52,EQEP1S,,
,GPIO53,,,,,,,,EPI0S11,MIITXD0(d),,SSI1FSS,,,,,,U3RX,,,GPIO53,EQEP1I,,
,GPIO54,,,,,,,,EPI0S26,MIIRXDV(d),,SSI1RX,,,,,MIITXEN(d),SSI0TX,,,GPIO54,SPISIMOA,,EQEP3A
,GPIO55,,,MIIRXCK(d),,,,,EPI0S27,,,SSI1TX,,,,,MIITXCK(d),SSI0RX,,,GPIO55,SPISOMIA,,EQEP3B
,GPIO56,,,MIIRXER(d),,,,,EPI0S16,,,I2C1SCL,,,,,,SSI0CLK,,,GPIO56,SPICLKA,,EQEP3S
