Type:uinteger,Time:ulong,Error:uinteger,Master:string,Message:string,Event:string,EventClass:string,Data1:string,Data2:string,SeqNo:ulong,Logger:string,Module:string,Domain:string,Local Time:ulong,Arg1:uinteger,Arg2:uinteger,Arg3:uinteger,Arg4:uinteger,Arg5:uinteger,Arg6:uinteger,Arg7:uinteger,Arg8:uinteger,Block Arg,
,501468212694,0,C64XP_C,"LM_post: event: 0x8745a8, currEvents: 0x0, eventId: 0x2",Event_LM_post,Unknown,,,18867,SYSBIOS System Logger,ti.sysbios.knl.Event,ti.sysbios.knl.Event,80415590385,8865192,0,2,0,,,,,,
,501468213285,0,C64XP_C,"LD_ready: tsk: 0x874750, func: 0x24cc20, pri: 1",Task_LD_ready,Unknown,ti_uia_sysbios_IpcMP_transferAgentFxn__E(),,18868,SYSBIOS System Logger,ti.sysbios.knl.Task,ti.sysbios.knl.Task,80415590800,8865616,2411552,1,0,,,,,,
,501468220639,0,C64XP_C,"LM_switch: oldtsk: 0x874708, oldfunc: 0x2ab720, newtsk: 0x874750, newfunc: 0x24cc20",CtxChg,TSK,ti_uia_sysbios_IpcMP_transferAgentFxn__E(),,18869,SYSBIOS System Logger,_ti.uia.events.UIAThreadCtx,ti.sysbios.knl.Task,80415595945,8865544,2799392,8865616,2411552,,,,,,
,501468226416,0,C64XP_B,"LM_pend: event: 0x8745a8, currEvents: 0x0, andMask: 0x0, orMask: 0x7, timeout: -1",Event_LM_pend,Unknown,,,19058,SYSBIOS System Logger,ti.sysbios.knl.Event,ti.sysbios.knl.Event,81339060656,8865192,0,0,7,4294967295,0,0,0,,
,501468227051,0,C64XP_B,"LD_block: tsk: 0x874750, func: 0x24cc20",Task_LD_block,Unknown,ti_uia_sysbios_IpcMP_transferAgentFxn__E(),,19059,SYSBIOS System Logger,ti.sysbios.knl.Task,ti.sysbios.knl.Task,81339061102,8865616,2411552,,,,,,,,
,501468228122,0,C64XP_B,"LM_switch: oldtsk: 0x874750, oldfunc: 0x24cc20, newtsk: 0x874708, newfunc: 0x2ab720",CtxChg,TSK,TSK_idle,,19060,SYSBIOS System Logger,_ti.uia.events.UIAThreadCtx,ti.sysbios.knl.Task,81339061851,8865616,2411552,8865544,2799392,,,,,,
,501468234971,0,C64XP_D,"LM_switch: oldtsk: 0x874708, oldfunc: 0x2ab720, newtsk: 0x874750, newfunc: 0x24cc20",CtxChg,TSK,ti_uia_sysbios_IpcMP_transferAgentFxn__E(),,18889,SYSBIOS System Logger,_ti.uia.events.UIAThreadCtx,ti.sysbios.knl.Task,79498680532,8865544,2799392,8865616,2411552,,,,,,
,501468241022,0,C64XP_C,"LM_pend: event: 0x8745a8, currEvents: 0x0, andMask: 0x0, orMask: 0x7, timeout: -1",Event_LM_pend,Unknown,,,18870,SYSBIOS System Logger,ti.sysbios.knl.Event,ti.sysbios.knl.Event,80415610216,8865192,0,0,7,4294967295,0,0,0,,
,501468241656,0,C64XP_C,"LD_block: tsk: 0x874750, func: 0x24cc20",Task_LD_block,Unknown,ti_uia_sysbios_IpcMP_transferAgentFxn__E(),,18871,SYSBIOS System Logger,ti.sysbios.knl.Task,ti.sysbios.knl.Task,80415610660,8865616,2411552,,,,,,,,
,501468242728,0,C64XP_C,"LM_switch: oldtsk: 0x874750, oldfunc: 0x24cc20, newtsk: 0x874708, newfunc: 0x2ab720",CtxChg,TSK,TSK_idle,,18872,SYSBIOS System Logger,_ti.uia.events.UIAThreadCtx,ti.sysbios.knl.Task,80415611409,8865616,2411552,8865544,2799392,,,,,,
,501468255336,0,C64XP_D,"LM_pend: event: 0x8745a8, currEvents: 0x0, andMask: 0x0, orMask: 0x7, timeout: -1",Event_LM_pend,Unknown,,,18890,SYSBIOS System Logger,ti.sysbios.knl.Event,ti.sysbios.knl.Event,79498694791,8865192,0,0,7,4294967295,0,0,0,,
,501468255971,0,C64XP_D,"LD_block: tsk: 0x874750, func: 0x24cc20",Task_LD_block,Unknown,ti_uia_sysbios_IpcMP_transferAgentFxn__E(),,18891,SYSBIOS System Logger,ti.sysbios.knl.Task,ti.sysbios.knl.Task,79498695235,8865616,2411552,,,,,,,,
,501468257042,0,C64XP_D,"LM_switch: oldtsk: 0x874750, oldfunc: 0x24cc20, newtsk: 0x874708, newfunc: 0x2ab720",CtxChg,TSK,TSK_idle,,18892,SYSBIOS System Logger,_ti.uia.events.UIAThreadCtx,ti.sysbios.knl.Task,79498695986,8865616,2411552,8865544,2799392,,,,,,
,501468270928,0,C64XP_A,"LM_post: event: 0x8745a8, currEvents: 0x0, eventId: 0x2",Event_LM_post,Unknown,,,20100,SYSBIOS System Logger,ti.sysbios.knl.Event,ti.sysbios.knl.Event,80626376902,8865192,0,2,0,,,,,,
,501468274228,0,C64XP_E,"LM_post: event: 0x8745a8, currEvents: 0x0, eventId: 0x2",Event_LM_post,Unknown,,,18485,SYSBIOS System Logger,ti.sysbios.knl.Event,ti.sysbios.knl.Event,78504411560,8865192,0,2,0,,,,,,
,501468278102,0,C64XP_A,"LM_post: sem: 0x852fa8, count: 1",Semaphore_LM_post,Unknown,,,20101,SYSBIOS System Logger,ti.sysbios.knl.Semaphore,ti.sysbios.knl.Semaphore,80626381923,8728488,1,,,,,,,,
,501468285748,0,C64XP_A,"LM_post: event: 0x8745a8, currEvents: 0x2, eventId: 0x2",Event_LM_post,Unknown,,,20102,SYSBIOS System Logger,ti.sysbios.knl.Event,ti.sysbios.knl.Event,80626387277,8865192,2,2,0,,,,,,
,501468290762,0,C64XP_A,"LM_post: sem: 0x852fa8, count: 1",Semaphore_LM_post,Unknown,,,20103,SYSBIOS System Logger,ti.sysbios.knl.Semaphore,ti.sysbios.knl.Semaphore,80626390790,8728488,1,,,,,,,,
,501468298288,0,C64XP_A,"LM_post: event: 0x8745a8, currEvents: 0x2, eventId: 0x2",Event_LM_post,Unknown,,,20104,SYSBIOS System Logger,ti.sysbios.knl.Event,ti.sysbios.knl.Event,80626396053,8865192,2,2,0,,,,,,
,501468303131,0,C64XP_A,"LM_post: sem: 0x852fa8, count: 1",Semaphore_LM_post,Unknown,,,20105,SYSBIOS System Logger,ti.sysbios.knl.Semaphore,ti.sysbios.knl.Semaphore,80626399446,8728488,1,,,,,,,,
,501468318654,0,C64XP_A,"LM_setPri: tsk: 0x874750, func: 0x24cc20, oldPri: 1, newPri 9",Task_LM_setPri,Unknown,,,20106,SYSBIOS System Logger,ti.sysbios.knl.Task,ti.sysbios.knl.Task,80626410311,8865616,2411552,1,9,,,,,,
,501468322245,0,C64XP_F,"LM_post: event: 0x8745a8, currEvents: 0x0, eventId: 0x2",Event_LM_post,Unknown,,,19262,SYSBIOS System Logger,ti.sysbios.knl.Event,ti.sysbios.knl.Event,77907037250,8865192,0,2,0,,,,,,
,501468322785,0,C64XP_F,"LD_ready: tsk: 0x874750, func: 0x24cc20, pri: 1",Task_LD_ready,Unknown,ti_uia_sysbios_IpcMP_transferAgentFxn__E(),,19263,SYSBIOS System Logger,ti.sysbios.knl.Task,ti.sysbios.knl.Task,77907037627,8865616,2411552,1,0,,,,,,
,501468326308,0,C64XP_F,"LM_switch: oldtsk: 0x874708, oldfunc: 0x2ab720, newtsk: 0x874750, newfunc: 0x24cc20",CtxChg,TSK,ti_uia_sysbios_IpcMP_transferAgentFxn__E(),,19264,SYSBIOS System Logger,_ti.uia.events.UIAThreadCtx,ti.sysbios.knl.Task,77907040090,8865544,2799392,8865616,2411552,,,,,,
,501468332196,0,C64XP_A,"LM_setPri: tsk: 0x874750, func: 0x24cc20, oldPri: 9, newPri 1",Task_LM_setPri,Unknown,,,20107,SYSBIOS System Logger,ti.sysbios.knl.Task,ti.sysbios.knl.Task,80626419790,8865616,2411552,9,1,,,,,,
,501468333516,0,C64XP_A,"LM_post: sem: 0x852fa8, count: 1",Semaphore_LM_post,Unknown,,,20108,SYSBIOS System Logger,ti.sysbios.knl.Semaphore,ti.sysbios.knl.Semaphore,80626420717,8728488,1,,,,,,,,
,501468334494,0,C64XP_A,"LM_post: sem: 0x853048, count: 1",Semaphore_LM_post,Unknown,,,20109,SYSBIOS System Logger,ti.sysbios.knl.Semaphore,ti.sysbios.knl.Semaphore,80626421403,8728648,1,,,,,,,,
,501468335908,0,C64XP_A,"LM_setPri: tsk: 0x874750, func: 0x24cc20, oldPri: 1, newPri 9",Task_LM_setPri,Unknown,,,20110,SYSBIOS System Logger,ti.sysbios.knl.Task,ti.sysbios.knl.Task,80626422389,8865616,2411552,1,9,,,,,,
,501468346656,0,C64XP_F,"LM_pend: event: 0x8745a8, currEvents: 0x0, andMask: 0x0, orMask: 0x7, timeout: -1",Event_LM_pend,Unknown,,,19265,SYSBIOS System Logger,ti.sysbios.knl.Event,ti.sysbios.knl.Event,77907054337,8865192,0,0,7,4294967295,0,0,0,,
,501468347291,0,C64XP_F,"LD_block: tsk: 0x874750, func: 0x24cc20",Task_LD_block,Unknown,ti_uia_sysbios_IpcMP_transferAgentFxn__E(),,19266,SYSBIOS System Logger,ti.sysbios.knl.Task,ti.sysbios.knl.Task,77907054781,8865616,2411552,,,,,,,,
,501468348362,0,C64XP_F,"LM_switch: oldtsk: 0x874750, oldfunc: 0x24cc20, newtsk: 0x874708, newfunc: 0x2ab720",CtxChg,TSK,TSK_idle,,19267,SYSBIOS System Logger,_ti.uia.events.UIAThreadCtx,ti.sysbios.knl.Task,77907055530,8865616,2411552,8865544,2799392,,,,,,
,501468355948,0,C64XP_A,"LM_post: event: 0x8745a8, currEvents: 0x2, eventId: 0x2",Event_LM_post,Unknown,,,20111,SYSBIOS System Logger,ti.sysbios.knl.Event,ti.sysbios.knl.Event,80626436420,8865192,2,2,0,,,,,,
,501468361056,0,C64XP_A,"LM_post: sem: 0x852fa8, count: 1",Semaphore_LM_post,Unknown,,,20112,SYSBIOS System Logger,ti.sysbios.knl.Semaphore,ti.sysbios.knl.Semaphore,80626439992,8728488,1,,,,,,,,
,501468377916,0,C64XP_A,"LM_setPri: tsk: 0x874750, func: 0x24cc20, oldPri: 9, newPri 1",Task_LM_setPri,Unknown,,,20113,SYSBIOS System Logger,ti.sysbios.knl.Task,ti.sysbios.knl.Task,80626451794,8865616,2411552,9,1,,,,,,
,501468388219,0,C64XP_A,"LM_setPri: tsk: 0x874750, func: 0x24cc20, oldPri: 1, newPri 9",Task_LM_setPri,Unknown,,,20114,SYSBIOS System Logger,ti.sysbios.knl.Task,ti.sysbios.knl.Task,80626459006,8865616,2411552,1,9,,,,,,
,501468394999,0,C64XP_B,"LM_post: sem: 0x852fa8, count: 1",Semaphore_LM_post,Unknown,,,19061,SYSBIOS System Logger,ti.sysbios.knl.Semaphore,ti.sysbios.knl.Semaphore,81339178664,8728488,1,,,,,,,,
,501468401291,0,C64XP_A,"LM_setPri: tsk: 0x874750, func: 0x24cc20, oldPri: 9, newPri 1",Task_LM_setPri,Unknown,,,20115,SYSBIOS System Logger,ti.sysbios.knl.Task,ti.sysbios.knl.Task,80626468160,8865616,2411552,9,1,,,,,,
,501468411465,0,C64XP_A,"LM_setPri: tsk: 0x874750, func: 0x24cc20, oldPri: 1, newPri 9",Task_LM_setPri,Unknown,,,20116,SYSBIOS System Logger,ti.sysbios.knl.Task,ti.sysbios.knl.Task,80626475278,8865616,2411552,1,9,,,,,,
,501468418254,0,C64XP_C,"LM_post: sem: 0x852fa8, count: 1",Semaphore_LM_post,Unknown,,,18873,SYSBIOS System Logger,ti.sysbios.knl.Semaphore,ti.sysbios.knl.Semaphore,80415734276,8728488,1,,,,,,,,
,501468424528,0,C64XP_A,"LM_setPri: tsk: 0x874750, func: 0x24cc20, oldPri: 9, newPri 1",Task_LM_setPri,Unknown,,,20117,SYSBIOS System Logger,ti.sysbios.knl.Task,ti.sysbios.knl.Task,80626484424,8865616,2411552,9,1,,,,,,
,501468434711,0,C64XP_A,"LM_setPri: tsk: 0x874750, func: 0x24cc20, oldPri: 1, newPri 9",Task_LM_setPri,Unknown,,,20118,SYSBIOS System Logger,ti.sysbios.knl.Task,ti.sysbios.knl.Task,80626491552,8865616,2411552,1,9,,,,,,
,501468441285,0,C64XP_D,"LM_post: sem: 0x852fa8, count: 1",Semaphore_LM_post,Unknown,,,18893,SYSBIOS System Logger,ti.sysbios.knl.Semaphore,ti.sysbios.knl.Semaphore,79498824957,8728488,1,,,,,,,,
,501468449128,0,C64XP_A,"LM_setPri: tsk: 0x874750, func: 0x24cc20, oldPri: 9, newPri 1",Task_LM_setPri,Unknown,,,20119,SYSBIOS System Logger,ti.sysbios.knl.Task,ti.sysbios.knl.Task,80626501642,8865616,2411552,9,1,,,,,,
,501468458994,0,C64XP_A,"LM_pend: event: 0x8745a8, currEvents: 0x2, andMask: 0x0, orMask: 0x7, timeout: -1",Event_LM_pend,Unknown,,,20120,SYSBIOS System Logger,ti.sysbios.knl.Event,ti.sysbios.knl.Event,80626508553,8865192,2,0,7,4294967295,0,0,0,,
,501468459791,0,C64XP_A,"LM_pend: event: 0x8745a8, currEvents: 0x0, andMask: 0x0, orMask: 0x7, timeout: -1",Event_LM_pend,Unknown,,,20121,SYSBIOS System Logger,ti.sysbios.knl.Event,ti.sysbios.knl.Event,80626509109,8865192,0,0,7,4294967295,0,0,0,,
,501468460425,0,C64XP_A,"LD_block: tsk: 0x874750, func: 0x24cc20",Task_LD_block,Unknown,ti_uia_sysbios_IpcMP_transferAgentFxn__E(),,20122,SYSBIOS System Logger,ti.sysbios.knl.Task,ti.sysbios.knl.Task,80626509553,8865616,2411552,,,,,,,,
,501468461668,0,C64XP_A,"LM_switch: oldtsk: 0x874750, oldfunc: 0x24cc20, newtsk: 0x874708, newfunc: 0x2ab720",CtxChg,TSK,TSK_idle,,20123,SYSBIOS System Logger,_ti.uia.events.UIAThreadCtx,ti.sysbios.knl.Task,80626510424,8865616,2411552,8865544,2799392,,,,,,
,501468466048,0,C64XP_F,"LM_post: sem: 0x852fa8, count: 1",Semaphore_LM_post,Unknown,,,19268,SYSBIOS System Logger,ti.sysbios.knl.Semaphore,ti.sysbios.knl.Semaphore,77907137909,8728488,1,,,,,,,,
,501468674522,0,C64XP_A,"LM_post: sem: 0x856360, count: 0",Semaphore_LM_post,Unknown,,,20124,SYSBIOS System Logger,ti.sysbios.knl.Semaphore,ti.sysbios.knl.Semaphore,80626659423,8741728,0,,,,,,,,
,501468675079,0,C64XP_A,"LD_ready: tsk: 0x8746c0, func: 0x2a44a0, pri: 2",Task_LD_ready,Unknown,ti_ndk_config_Global_stackThread(),,20125,SYSBIOS System Logger,ti.sysbios.knl.Task,ti.sysbios.knl.Task,80626659813,8865472,2770080,2,0,,,,,,
,501468677265,0,C64XP_A,"LM_switch: oldtsk: 0x874708, oldfunc: 0x2ab720, newtsk: 0x8746c0, newfunc: 0x2a44a0",CtxChg,TSK,ti_ndk_config_Global_stackThread(),,20126,SYSBIOS System Logger,_ti.uia.events.UIAThreadCtx,ti.sysbios.knl.Task,80626661342,8865544,2799392,8865472,2770080,,,,,,
,501468678851,0,C64XP_A,"LM_setPri: tsk: 0x8746c0, func: 0x2a44a0, oldPri: 2, newPri 9",Task_LM_setPri,Unknown,,,20127,SYSBIOS System Logger,ti.sysbios.knl.Task,ti.sysbios.knl.Task,80626662449,8865472,2770080,2,9,,,,,,
,501468684731,0,C64XP_A,"LM_setPri: tsk: 0x8746c0, func: 0x2a44a0, oldPri: 9, newPri 2",Task_LM_setPri,Unknown,,,20128,SYSBIOS System Logger,ti.sysbios.knl.Task,ti.sysbios.knl.Task,80626666565,8865472,2770080,9,2,,,,,,
,501468685571,0,C64XP_A,"LM_pend: sem: 0x856360, count: 0, timeout: -1",Semaphore_LM_pend,Unknown,,,20129,SYSBIOS System Logger,ti.sysbios.knl.Semaphore,ti.sysbios.knl.Semaphore,80626667154,8741728,0,4294967295,0,,,,,,
,501468686145,0,C64XP_A,"LD_block: tsk: 0x8746c0, func: 0x2a44a0",Task_LD_block,Unknown,ti_ndk_config_Global_stackThread(),,20130,SYSBIOS System Logger,ti.sysbios.knl.Task,ti.sysbios.knl.Task,80626667555,8865472,2770080,,,,,,,,
,501468687174,0,C64XP_A,"LM_switch: oldtsk: 0x8746c0, oldfunc: 0x2a44a0, newtsk: 0x874708, newfunc: 0x2ab720",CtxChg,TSK,TSK_idle,,20131,SYSBIOS System Logger,_ti.uia.events.UIAThreadCtx,ti.sysbios.knl.Task,80626668276,8865472,2770080,8865544,2799392,,,,,,
