,GPIO0,EPWM1A,reserved,reserved
,GPIO1,EPWM1B,reserved,COMP1OUT
,GPIO2,EPWM2A,reserved,reserved
,GPIO3,EPWM2B,SPISOMIA,COMP2OUT
,GPIO4,EPWM3A,reserved,reserved
,GPIO5,EPWM3B,SPISIMOA,ECAP1
,GPIO6,EPWM4A,EPWMSYNCI,EPWMSYNCO
,GPIO7,EPWM4B,SCIRXDA,ECAP2
,GPIO8,EPWM5A,reserved,ADCSOCAO
,GPIO9,EPWM5B,SCITXDB(d),ECAP3
,GPIO10,EPWM6A,reserved,ADCSOCBO
,GPIO11,EPWM6B,SCIRXDB(d),ECAP1
,GPIO12,TZ1,SCITXDA,SPISIMOB
,GPIO13,TZ2,reserved,SPISOMIB
,GPIO14,TZ3,SCITXDB(d),SPICLKB
,GPIO15,ECAP2,SCIRXDB(d),SPISTEB
,GPIO16,SPISIMOA,reserved,TZ2
,GPIO17,SPISOMIA,reserved,TZ3
,GPIO18,SPICLKA,SCITXDB(d),XCLKOUT
,GPIO19/XCLKIN,SPISTEA,SCIRXDB(d),ECAP1
,GPIO20,EQEP1A,MDXA,COMP1OUT
,GPIO21,EQEP1B,MDRA,COMP2OUT
,GPIO22,EQEP1S,MCLKXA,SCITXDB(d)
,GPIO23,EQEP1I,MFSXA,SCIRXDB(d)
,GPIO24,ECAP1,EQEP2A(d),SPISIMOB
,GPIO25,ECAP2,EQEP2B(D),SPISOMIB
USB0DP,GPIO26,ECAP3,EQEP2I(D),SPICLKB
USB0DM,GPIO27,HRCAP2,EQEP2S(D),SPISTEB
,GPIO28,SCIRXDA,SDAA,TZ2
,GPIO29,SCITXDA,SCLA,TZ3
,GPIO30,CANRXA,EQEP2I(D),EPWM7A
,GPIO31,CANTXA,EQEP2S(D),EPWM8A
,GPIO32,SDAA,EPWMSYNCI,ADCSOCAO
,GPIO33,SCLA,EPWMSYNCO,ADCSOCBO
,GPIO34,COMP2OUT,reserved,COMP3OUT
,GPIO35/TDI,reserved,reserved,reserved
,GPIO36/TMS,reserved,reserved,reserved
,GPIO37/TDO,reserved,reserved,reserved
,GPIO38/XCLKIN/TCK,reserved,reserved,reserved
,GPIO39,reserved,reserved,reserved
,GPIO40(D),EPWM7A(D),SCITXDB(D),reserved
,GPIO41(D),EPWM7B(D),SCIRXDB(D),reserved
,GPIO42(D),EPWM8A(D),TZ1(D),COMP1OUT(D)
,GPIO43(D),EPWM8B(D),TZ2(D),COMP2OUT(D)
,GPIO44(D),MFSRA(D),SCIRXDB(D),EPWM7B(D)
,reserved,reserved,reserved,reserved
,reserved,reserved,reserved,reserved
,reserved,reserved,reserved,reserved
,reserved,reserved,reserved,reserved
,reserved,reserved,reserved,reserved
,GPIO50(D),EQEP1A(D),MDXA(D),TZ1(D)
,GPIO51(D),EQEP1B(D),MDRA(D),TZ2(D)
,GPIO52(D),EQEP1S(D),MCLKXA(D),TZ3(D)
,GPIO53(D),EQEP1I(D),MFSXA(D),reserved
,GPIO54(D),SPISIMOA(D),EQEP2A(D),HRCAP1(D)
,GPIO55(D),SPISOMIA(D),EQEP2B(D),HRCAP2(D)
,GPIO56(D),SPICLKA(D),EQEP2I(D),HRCAP3(D)
,GPIO57(D),SPISTEA(D),EQEP2S(D),HRCAP4(D)
,GPIO58(D),MCLKRA(D),SCITXDB(D),EPWM7A(D)
,reserved,reserved,reserved,reserved
,reserved,reserved,reserved,reserved
,reserved,reserved,reserved,reserved
,reserved,reserved,reserved,reserved
,reserved,reserved,reserved,reserved
