Program Address:uinteger:hex,Load Address:uinteger:hex,Read Data:ulong,Write Data:ulong,Delta Cycles:ulong,Cycle:long,Trace Status:string,Filename:string,Function:string,Source:string,Disassembly:string,
"0x8815B346","0x8815B346","","","","8997","","/db/vtree/library/trees/avala/avala-q41x/src/ti/sysbios/utils/Load.c","ti_sysbios_utils_Load_idleFxn__E()","","||         MV.D1         A0,A1",
"0x8815B348","0x8815B348","","","","8997","","/db/vtree/library/trees/avala/avala-q41x/src/ti/sysbios/utils/Load.c","ti_sysbios_utils_Load_idleFxn__E()","","||  [!A0]  B.S2          0x8815b3f8",
"0x8815B34C","0x8815B34C","","","1","8998","Stall timing collection on, cycle columns show stall timing and pipeline advances, PC collection off","/db/vtree/library/trees/avala/avala-q41x/src/ti/sysbios/utils/Load.c","ti_sysbios_utils_Load_idleFxn__E()","","    [!A2]  LDW.D2T2      *+B15[2],B4",
"0x8815B350","0x8815B350","","","","8998","","/db/vtree/library/trees/avala/avala-q41x/src/ti/sysbios/utils/Load.c","ti_sysbios_utils_Load_idleFxn__E()","","||  [!A1]  MVK.L2        1,B0",
"0x8815B354","0x8815B354","","","","8998","","/db/vtree/library/trees/avala/avala-q41x/src/ti/sysbios/utils/Load.c","ti_sysbios_utils_Load_idleFxn__E()","","||  [!A2]  MVK.S2        0x4dd3,B5",
"0x8815B358","0x8815B358","","","","8998","","/db/vtree/library/trees/avala/avala-q41x/src/ti/sysbios/utils/Load.c","ti_sysbios_utils_Load_idleFxn__E()","","||  [!A2]  MVK.S1        0xffffbff4,A3",
"","","","","1004","8999","","","","","",
"0x8817BB80","0x8817BB80","","","6","10003","Stall timing collection on, cycle columns show stall timing and pipeline advances, PC collection on","/db/vtree/library/trees/avala/avala-q41x/src/ti/sysbios/hal/Hwi_stack.c","ti_sysbios_hal_Hwi_checkStack()","<Source file not found>","           BNOP.S2       B3,5",
"0x8817BE70","0x8817BE70","","","1","10009","Stall timing collection on, cycle columns show stall timing and pipeline advances, PC collection off","/db/vtree/library/trees/avala/avala-q41x/src/ti/sysbios/knl/Idle.c","ti_sysbios_knl_Idle_loop__E(unsigned int, unsigned int)","<Source file not found>","           LDW.D2T2      *+B11[0],B4",
"","","","","997","10010","","","","","",
"0x8815B400","0x8815B400","","","1","11007","Stall timing collection on, cycle columns show stall timing and pipeline advances, PC collection on","/db/vtree/library/trees/avala/avala-q41x/src/ti/sysbios/utils/Load.c","ti_sysbios_utils_Load_idleFxn__E()","<Source file not found>","           LDW.D1T1      *+A3[0],A3",
"0x8815B404","0x8815B404","","","1","11008","Stall timing collection on, cycle columns show stall timing and pipeline advances, PC collection off","/db/vtree/library/trees/avala/avala-q41x/src/ti/sysbios/utils/Load.c","ti_sysbios_utils_Load_idleFxn__E()","<Source file not found>","           MVC.S2        CSR,B10",
"","","","","991","11009","","","","","",
"0x8817BE80","0x8817BE80","","","5","12000","Stall timing collection on, cycle columns show stall timing and pipeline advances, PC collection on","/db/vtree/library/trees/avala/avala-q41x/src/ti/sysbios/knl/Idle.c","ti_sysbios_knl_Idle_loop__E(unsigned int, unsigned int)","<Source file not found>","    [ B0]  BNOP.S1       0x8817be64,4",
"0x8817BE84","0x8817BE84","","","","12000","","/db/vtree/library/trees/avala/avala-q41x/src/ti/sysbios/knl/Idle.c","ti_sysbios_knl_Idle_loop__E(unsigned int, unsigned int)","","||  [ B0]  LDW.D1T1      *+A11[0],A3",
"0x8817BE88","0x8817BE88","","","1","12005","Stall timing collection on, cycle columns show stall timing and pipeline advances, PC collection off","/db/vtree/library/trees/avala/avala-q41x/src/ti/sysbios/knl/Idle.c","ti_sysbios_knl_Idle_loop__E(unsigned int, unsigned int)","<Source file not found>","    [ B0]  LDW.D1T1      *+A3[A10],A3",
"","","","","995","12006","","","","","",
"0x8815B420","0x8815B420","","","1","13001","Stall timing collection on, cycle columns show stall timing and pipeline advances, PC collection on","/db/vtree/library/trees/avala/avala-q41x/src/ti/sysbios/utils/Load.c","ti_sysbios_utils_Load_idleFxn__E()","<Source file not found>","           B.S1          0x881856a0",
"0x8815B424","0x8815B424","","","1","13002","Stall timing collection on, cycle columns show stall timing and pipeline advances, PC collection off","/db/vtree/library/trees/avala/avala-q41x/src/ti/sysbios/utils/Load.c","ti_sysbios_utils_Load_idleFxn__E()","","           ADDKPC.S2     0x8815b428,B3,4",
"","","","","1001","13003","","","","","",
"0x8817BE68","0x8817BE68","","","1","14004","Stall timing collection on, cycle columns show stall timing and pipeline advances, PC collection on","/db/vtree/library/trees/avala/avala-q41x/src/ti/sysbios/knl/Idle.c","ti_sysbios_knl_Idle_loop__E(unsigned int, unsigned int)","<Source file not found>","           B.S2X         A3",
"0x8817BE6C","0x8817BE6C","","","1","14005","Stall timing collection on, cycle columns show stall timing and pipeline advances, PC collection off","/db/vtree/library/trees/avala/avala-q41x/src/ti/sysbios/knl/Idle.c","ti_sysbios_knl_Idle_loop__E(unsigned int, unsigned int)","","           ADDKPC.S2     0x8817be70,B3,4",
"","","","","1002","14006","","","","","",
