GPIO0,EPWM1A,reserved,reserved
GPIO1,EPWM1B,SPISIMOD(D),reserved
GPIO2,EPWM2A,reserved,reserved
GPIO3,EPWM2B,SPISOMID(D),reserved
GPIO4,EPWM3A,reserved,reserved
GPIO5,EPWM3B,SPICLKD(D),ECAP1
GPIO6,EPWM4A(D),EPWMSYNCI,EPWMSYNCO
GPIO7,EPWM4B(D),SPISTED(D),ECAP2
GPIO8,EPWM5A(D),CANTXB(d),ADCSOCAO
GPIO9,EPWM5B(D),SCITXDB(D),ECAP3(D)
GPIO10,EPWM6A(D),CANRXB(D),ADCSOCBO
GPIO11,EPWM6B(D),SCIRXDB(D),ECAP4(D)
GPIO12,TZ1,CANTXB(d),SPISIMOB
GPIO13,TZ2,CANRXB(D),SPISOMIB
GPIO14,TZ3,SCITXDB(D),SPICLKB
GPIO15,TZ4,SCIRXDB(D),SPISTEB
GPIO16,SPISIMOA,CANTXB(D),TZ5
GPIO17,SPISOMIA,CANRXB(D),TZ6
GPIO18,SPICLKA,SCITXDB(D),reserved
GPIO19,SPISTEA,SCIRXDB(D),reserved
GPIO20,EQEP1A,SPISIMOC(D),CANTXB(D)
GPIO21,EQEP1B,SPISOMIC(D),CANRXB(D)
GPIO22,EQEP1S,SPICLKC(D),SCITXDB(D)
GPIO23,EQEP1I,SPISTEC(D),SCIRXDB(D)
GPIO24,ECAP1,EQEP2A(D),SPISIMOB
GPIO25,ECAP2,EQEP2B(D),SPISOMIB
GPIO26,ECAP3(D),EQEP2I(D),SPICLKB
GPIO27,ECAP4(D),EQEP2S(D),SPISTEB
GPIO28,SCIRXDA,reserved,TZ5
GPIO29,SCITXDA,reserved,TZ6
GPIO30,CANRXA,reserved,reserved
GPIO31,CANTXA,reserved,reserved
GPIO32,SDAA,EPWMSYNCI,ADCSOCAO
GPIO33,SCLA,EPWMSYNCO,ADCSOCBO
GPIO34,reserved,reserved,reserved
