Master ID:ubyte,Master Name:string,Channel Number:ubyte,Module:string,Data Message:string,Data:ulong,Domain:string,Class:string,Type:string,Data Size:ubyte,Address:uinteger,Delta Cycles:ulong,Cycle:integer,Trace Status:string,Receiver Status:string,Local Delta Timestamp:ulong,Local Timestamp:integer,Overflow Count:ubyte,Trace Position Data,Program Address:uinteger,Load Address:uinteger,
,,,,,,,,,,,,,Start of trace,,,,,0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 ,,,
164,SMSET,,SET,start,7,iCONT1,task4,Event,,,4,4014,,,15,1433494,,0x1a 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 ,,,
164,SMSET,,SET,start,7,iCONT1,task4,Event,,,292,4306,,,592,1433509,,0x1b 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 ,,,
164,SMSET,,SET,start,7,iCONT1,task4,Event,,,80,4386,,,158,1434101,,0x1c 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 ,,,
164,SMSET,,SET,start,7,iCONT1,task4,Event,,,125,4511,,,256,1434259,,0x1d 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 ,,,
164,SMSET,,SET,start,7,iCONT1,task4,Event,,,502,5013,,,1004,1434515,,0x1e 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 ,,,
164,SMSET,,SET,stop,2,iCONT1,task1,Event,,,274,5287,,,552,1435519,,0x1f 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 ,,,
164,SMSET,,SET,stop,8,iCONT1,task4,Event,,,17,5304,,,36,1436071,,0x20 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 ,,,
164,SMSET,,SET,start,1,iCONT1,task1,Event,,,0,5304,,,2,1436107,,0x21 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 ,,,
164,SMSET,,SET,start,7,iCONT1,task4,Event,,,2,5306,,,1,1436109,,0x22 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 ,,,
164,SMSET,,SET,start,7,iCONT1,task4,Event,,,2,5308,,,15,1436110,,0x23 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 ,,,
164,SMSET,,SET,start,7,iCONT1,task4,Event,,,292,5600,,,592,1436125,,0x24 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 ,,,
164,SMSET,,SET,start,7,iCONT1,task4,Event,,,79,5679,,,158,1436717,,0x25 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 ,,,
164,SMSET,,SET,start,7,iCONT1,task4,Event,,,129,5808,,,256,1436875,,0x26 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 ,,,
164,SMSET,,SET,start,7,iCONT1,task4,Event,,,498,6306,,,1004,1437131,,0x27 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 ,,,
164,SMSET,,SET,stop,2,iCONT1,task1,Event,,,262,6568,,,524,1438135,,0x28 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 ,,,
164,SMSET,,SET,stop,8,iCONT1,task4,Event,,,16,6584,,,34,1438659,,0x29 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 ,,,
164,SMSET,,SET,start,1,iCONT1,task1,Event,,,1,6585,,,2,1438693,,0x2a 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 ,,,
164,SMSET,,SET,start,7,iCONT1,task4,Event,,,1,6586,,,1,1438695,,0x2b 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 ,,,
164,SMSET,,SET,start,7,iCONT1,task4,Event,,,2,6588,,,15,1438696,,0x2c 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 ,,,
164,SMSET,,SET,start,7,iCONT1,task4,Event,,,292,6880,,,592,1438711,,0x2d 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 ,,,
164,SMSET,,SET,start,7,iCONT1,task4,Event,,,80,6960,,,158,1439303,,0x2e 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 ,,,
164,SMSET,,SET,start,7,iCONT1,task4,Event,,,125,7085,,,256,1439461,,0x2f 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 ,,,
164,SMSET,,SET,start,7,iCONT1,task4,Event,,,502,7587,,,1004,1439717,,0x30 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 ,,,
164,SMSET,,SET,stop,2,iCONT1,task1,Event,,,288,7875,,,584,1440721,,0x31 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 ,,,
164,SMSET,,SET,stop,8,iCONT1,task4,Event,,,17,7892,,,36,1441305,,0x32 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 ,,,
164,SMSET,,SET,start,1,iCONT1,task1,Event,,,0,7892,,,2,1441341,,0x33 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 ,,,
164,SMSET,,SET,start,7,iCONT1,task4,Event,,,2,7894,,,1,1441343,,0x34 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 ,,,
164,SMSET,,SET,start,7,iCONT1,task4,Event,,,5,7899,,,15,1441344,,0x35 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 ,,,
164,SMSET,,SET,start,7,iCONT1,task4,Event,,,292,8191,,,592,1441359,,0x36 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 ,,,
164,SMSET,,SET,start,7,iCONT1,task4,Event,,,76,8267,,,158,1441951,,0x37 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 ,,,
164,SMSET,,SET,start,7,iCONT1,task4,Event,,,129,8396,,,256,1442109,,0x38 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 ,,,
164,SMSET,,SET,start,7,iCONT1,task4,Event,,,498,8894,,,1004,1442365,,0x39 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 ,,,
164,SMSET,,SET,stop,2,iCONT1,task1,Event,,,276,9170,,,552,1443369,,0x3a 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 ,,,
164,SMSET,,SET,stop,8,iCONT1,task4,Event,,,16,9186,,,38,1443921,,0x3b 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 ,,,
164,SMSET,,SET,start,1,iCONT1,task1,Event,,,3,9189,,,2,1443959,,0x3c 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 ,,,
164,SMSET,,SET,start,7,iCONT1,task4,Event,,,0,9189,,,1,1443961,,0x3d 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 ,,,
164,SMSET,,SET,start,7,iCONT1,task4,Event,,,5,9194,,,15,1443962,,0x3e 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 ,,,
164,SMSET,,SET,start,7,iCONT1,task4,Event,,,292,9486,,,592,1443977,,0x3f 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 ,,,
