,GPIO28,CCP3,,,,U2Tx,CCP2,,EPI0S34,,,,,,,,,U0Rx,EPI0S38,,GPIO28,SCIRXDA,,
,GPIO29,CCP5,,,,,,,EPI0S35,,,,,,,,,U0Tx,,,GPIO29,SCITXDA,,
,GPIO30,,,,,,,,,U1CTS,,,,,,,,CAN0Rx,,,GPIO30,,,EPWM9A
,GPIO31,,,,,,,OFSD_2_N,,U1DCD,,,,,,,,CAN0Tx,,,GPIO31,,,EPWM9B
,GPIO32,CAN1Rx,,,,,,IID,,U1DSR,,,,,,,,I2C0SDA,TRACED2,,GPIO32,I2CSDAA,SCIRXDA,ADCSOCAO
,GPIO33,CAN1Tx,,,,,,ISESSEND,,U1RTS,CCP3,,,,,,,I2C0SCL,TRACED3,,GPIO33,I2CSCLA,EPWMSYNCO,ADCSOCBO
,GPIO34,,,,,,,IAVALID,EPI0S32,SSI1Clk,,,,,,,,,TRACECLK,XCLKOUT,GPIO34,ECAP1,SCIRXDA,XCLKOUT
,GPIO35,,,,,,,IVBUSVALID,EPI0S33,SSI1Fss,,,,,,,,U0Tx,TRACED0,,GPIO35,SCITXDA,,
,GPIO36,CCP0,,,,,,IXRCV,EPI0S12,SSI1Rx,,,,,,,,U0Rx,,,GPIO36,SCIRXDA,,
,GPIO37,CCP2,,,,,,IDM,EPI0S15,SSI1Tx,,,,,,,,,,,GPIO37,ECAP2,,
,GPIO38,CCP1,,,,,,IDP,EPI0S38,,U1RTS,,,,,,,,,,GPIO38,,,
,GPIO39,,,,,,,OFSD_1_N,,,,,,,,,,,CAN1TX,,GPIO39,,,
,GPIO40,U2Rx,,I2C1SCL,,,,,EPI0S13,,,,,,,,,U4Rx,,,GPIO40,,,
,GPIO41,U2Tx,,I2C1SDA,,,,ODISCHRGVBUS,EPI0S14,,,,,,,,,U4Tx,,,GPIO41,,,
,GPIO42,,,,,,,OCHRGVBUS,EPI0S39,,,,,,,,,,,,GPIO42,,,
,GPIO43,,,,,,,ODMPULLDN,,,,,,,,,,,TRACED1,,GPIO43,,,
